Date,Ice Coverage (%),Sensor
2024-01-29,87.67,LANDSAT_9
2024-02-05,100.0,LANDSAT_9
2024-02-14,100.0,LANDSAT_9
2024-03-01,99.86,LANDSAT_9
2024-03-08,99.04,LANDSAT_9
2024-03-24,49.4,LANDSAT_9
2024-04-09,0.0,LANDSAT_9
2024-04-25,0.0,LANDSAT_9
2024-06-28,0.0,LANDSAT_9
2024-07-14,0.0,LANDSAT_9
2024-07-30,0.0,LANDSAT_9
2024-08-15,0.0,LANDSAT_9
2024-09-16,0.0,LANDSAT_9
2024-10-18,0.0,LANDSAT_9
2024-11-03,0.0,LANDSAT_9
2024-11-19,0.0,LANDSAT_9
2024-12-14,16.16,LANDSAT_9
2024-12-21,4.85,LANDSAT_9
2025-01-06,100.0,LANDSAT_9
2025-01-22,100.0,LANDSAT_9
